id,displayName,location,name,shortDisplayName,abbreviation,color,alternateColor,logoURL,league
2,Auburn Tigers,Auburn,Tigers,Auburn,AUB,002b5c,f26522,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,CFB
5,UAB Blazers,UAB,Blazers,UAB,UAB,003b28,ffc845,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,CFB
6,South Alabama Jaguars,South Alabama,Jaguars,South Alabama,USA,003E7E,,https://a.espncdn.com/i/teamlogos/ncaa/500/6.png,CFB
8,Arkansas Razorbacks,Arkansas,Razorbacks,Arkansas,ARK,a41f35,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,CFB
9,Arizona State Sun Devils,Arizona State,Sun Devils,Arizona St,ASU,8e0c3a,ffc72c,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,CFB
12,Arizona Wildcats,Arizona,Wildcats,Arizona,ARIZ,0c234b,ab0520,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,CFB
21,San Diego State Aztecs,San Diego State,Aztecs,San Diego St,SDSU,c41230,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,CFB
23,San José State Spartans,San José State,Spartans,San José St,SJSU,005893,fdba31,https://a.espncdn.com/i/teamlogos/ncaa/500/23.png,CFB
24,Stanford Cardinal,Stanford,Cardinal,Stanford,STAN,8c1515,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,CFB
25,California Golden Bears,California,Golden Bears,California,CAL,031522,ffc423,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,CFB
26,UCLA Bruins,UCLA,Bruins,UCLA,UCLA,2774ae,f2a900,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,CFB
30,USC Trojans,USC,Trojans,USC,USC,9e2237,ffcc00,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,CFB
36,Colorado State Rams,Colorado State,Rams,Colorado St,CSU,1e4d2b,c8c372,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,CFB
38,Colorado Buffaloes,Colorado,Buffaloes,Colorado,COLO,000000,cfb87c,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,CFB
41,UConn Huskies,UConn,Huskies,UConn,CONN,0c2340,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,CFB
48,Delaware Blue Hens,Delaware,Blue Hens,Delaware,DEL,033594,e8ce31,https://a.espncdn.com/i/teamlogos/ncaa/500/48.png,CFB
52,Florida State Seminoles,Florida State,Seminoles,Florida St,FSU,782f40,ceb888,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,CFB
55,Jacksonville State Gamecocks,Jacksonville State,Gamecocks,Jax State,JVST,b50500,b5b7ba,https://a.espncdn.com/i/teamlogos/ncaa/500/55.png,CFB
57,Florida Gators,Florida,Gators,Florida,FLA,0021a5,fa4616,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,CFB
58,South Florida Bulls,South Florida,Bulls,South Florida,USF,004A36,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,CFB
59,Georgia Tech Yellow Jackets,Georgia Tech,Yellow Jackets,Georgia Tech,GT,003057,b3a369,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,CFB
61,Georgia Bulldogs,Georgia,Bulldogs,Georgia,UGA,ba0c2f,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,CFB
62,Hawai'i Rainbow Warriors,Hawai'i,Rainbow Warriors,Hawai'i,HAW,003420,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,CFB
66,Iowa State Cyclones,Iowa State,Cyclones,Iowa State,ISU,822433,fdca2f,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,CFB
68,Boise State Broncos,Boise State,Broncos,Boise St,BOIS,0033a0,fa4616,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,CFB
77,Northwestern Wildcats,Northwestern,Wildcats,Northwestern,NU,582c83,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,CFB
84,Indiana Hoosiers,Indiana,Hoosiers,Indiana,IU,990000,edebeb,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,CFB
87,Notre Dame Fighting Irish,Notre Dame,Fighting Irish,Notre Dame,ND,0c2340,c99700,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,CFB
96,Kentucky Wildcats,Kentucky,Wildcats,Kentucky,UK,0033a0,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,CFB
97,Louisville Cardinals,Louisville,Cardinals,Louisville,LOU,c9001f,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,CFB
98,Western Kentucky Hilltoppers,Western Kentucky,Hilltoppers,Western KY,WKU,F32026,b3b5b8,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,CFB
99,LSU Tigers,LSU,Tigers,LSU,LSU,461d7c,fdd023,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,CFB
103,Boston College Eagles,Boston College,Eagles,Boston College,BC,8c2232,dbcca6,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,CFB
113,Massachusetts Minutemen,Massachusetts,Minutemen,UMass,MASS,880007,,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,CFB
120,Maryland Terrapins,Maryland,Terrapins,Maryland,MD,D5002B,ffcd00,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,CFB
127,Michigan State Spartans,Michigan State,Spartans,Michigan St,MSU,18453b,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,CFB
130,Michigan Wolverines,Michigan,Wolverines,Michigan,MICH,00274c,ffcb05,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,CFB
135,Minnesota Golden Gophers,Minnesota,Golden Gophers,Minnesota,MINN,5e0a2f,fab41c,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,CFB
142,Missouri Tigers,Missouri,Tigers,Missouri,MIZ,f1b82d,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,CFB
145,Ole Miss Rebels,Ole Miss,Rebels,Ole Miss,MISS,13294b,c8102e,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,CFB
150,Duke Blue Devils,Duke,Blue Devils,Duke,DUKE,013088,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,CFB
151,East Carolina Pirates,East Carolina,Pirates,East Carolina,ECU,4b1869,f0907b,https://a.espncdn.com/i/teamlogos/ncaa/500/151.png,CFB
152,NC State Wolfpack,NC State,Wolfpack,NC State,NCSU,cc0000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,CFB
153,North Carolina Tar Heels,North Carolina,Tar Heels,North Carolina,UNC,7bafd4,13294b,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,CFB
154,Wake Forest Demon Deacons,Wake Forest,Demon Deacons,Wake Forest,WAKE,000000,ceb888,https://a.espncdn.com/i/teamlogos/ncaa/500/154.png,CFB
158,Nebraska Cornhuskers,Nebraska,Cornhuskers,Nebraska,NEB,d00000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,CFB
164,Rutgers Scarlet Knights,Rutgers,Scarlet Knights,Rutgers,RUTG,d21034,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,CFB
166,New Mexico State Aggies,New Mexico State,Aggies,New Mexico St,NMSU,891216,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,CFB
167,New Mexico Lobos,New Mexico,Lobos,New Mexico,UNM,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,CFB
183,Syracuse Orange,Syracuse,Orange,Syracuse,SYR,ff6500,000e54,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,CFB
189,Bowling Green Falcons,Bowling Green,Falcons,Bowling Green,BGSU,2b1000,492000,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,CFB
193,Miami (OH) RedHawks,Miami (OH),RedHawks,Miami OH,M-OH,a4000c,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,CFB
194,Ohio State Buckeyes,Ohio State,Buckeyes,Ohio State,OSU,ce1141,505056,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,CFB
195,Ohio Bobcats,Ohio,Bobcats,Ohio,OHIO,295A29,e4bb85,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,CFB
197,Oklahoma State Cowboys,Oklahoma State,Cowboys,Oklahoma St,OKST,000000,dddddd,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,CFB
201,Oklahoma Sooners,Oklahoma,Sooners,Oklahoma,OU,a32036,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,CFB
202,Tulsa Golden Hurricane,Tulsa,Golden Hurricane,Tulsa,TLSA,003595,d0b787,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,CFB
204,Oregon State Beavers,Oregon State,Beavers,Oregon St,ORST,231f20,d73f09,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,CFB
213,Penn State Nittany Lions,Penn State,Nittany Lions,Penn State,PSU,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,CFB
218,Temple Owls,Temple,Owls,Temple,TEM,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,CFB
221,Pittsburgh Panthers,Pittsburgh,Panthers,Pitt,PITT,003263,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,CFB
228,Clemson Tigers,Clemson,Tigers,Clemson,CLEM,f56600,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,CFB
235,Memphis Tigers,Memphis,Tigers,Memphis,MEM,004991,8e908f,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,CFB
238,Vanderbilt Commodores,Vanderbilt,Commodores,Vanderbilt,VAN,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,CFB
239,Baylor Bears,Baylor,Bears,Baylor,BAY,154734,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,CFB
242,Rice Owls,Rice,Owls,Rice,RICE,d1d5d8,003d7d,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,CFB
245,Texas A&M Aggies,Texas A&M,Aggies,Texas A&M,TA&M,500000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,CFB
248,Houston Cougars,Houston,Cougars,Houston,HOU,c92a39,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,CFB
249,North Texas Mean Green,North Texas,Mean Green,North Texas,UNT,ffffff,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,CFB
251,Texas Longhorns,Texas,Longhorns,Texas,TEX,c15d26,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,CFB
252,BYU Cougars,BYU,Cougars,BYU,BYU,003da5,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,CFB
254,Utah Utes,Utah,Utes,Utah,UTAH,ea002a,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,CFB
256,James Madison Dukes,James Madison,Dukes,James Madison,JMU,450084,b5a068,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,CFB
258,Virginia Cavaliers,Virginia,Cavaliers,Virginia,UVA,232d4b,f84c1e,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,CFB
259,Virginia Tech Hokies,Virginia Tech,Hokies,Virginia Tech,VT,630031,cf4520,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,CFB
264,Washington Huskies,Washington,Huskies,Washington,WASH,33006f,e8d3a2,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,CFB
265,Washington State Cougars,Washington State,Cougars,Washington St,WSU,981e32,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,CFB
275,Wisconsin Badgers,Wisconsin,Badgers,Wisconsin,WIS,c4012f,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,CFB
276,Marshall Thundering Herd,Marshall,Thundering Herd,Marshall,MRSH,00ae42,be854c,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,CFB
277,West Virginia Mountaineers,West Virginia,Mountaineers,West Virginia,WVU,002855,eaaa00,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,CFB
278,Fresno State Bulldogs,Fresno State,Bulldogs,Fresno St,FRES,c41230,13284c,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,CFB
290,Georgia Southern Eagles,Georgia Southern,Eagles,GA Southern,GASO,003775,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,CFB
295,Old Dominion Monarchs,Old Dominion,Monarchs,Old Dominion,ODU,00507d,a1d2f1,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,CFB
309,Louisiana Ragin' Cajuns,Louisiana,Ragin' Cajuns,Louisiana,UL,ce181e,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/309.png,CFB
324,Coastal Carolina Chanticleers,Coastal Carolina,Chanticleers,Coastal,CCU,007073,876447,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png,CFB
326,Texas State Bobcats,Texas State,Bobcats,Texas St,TXST,4e1719,b4975a,https://a.espncdn.com/i/teamlogos/ncaa/500/326.png,CFB
328,Utah State Aggies,Utah State,Aggies,Utah State,USU,00263a,949ca1,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,CFB
