espn_team_id,display_name,location,name,short_display_name,abbreviation,color,alternate_color,logo_url,league_id,id
164,"Rutgers Scarlet Knights",Rutgers,"Scarlet Knights",Rutgers,RUTG,d21034,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,3,78
166,"New Mexico State Aggies","New Mexico State",Aggies,"New Mexico St",NMSU,891216,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,3,79
167,"New Mexico Lobos","New Mexico",Lobos,"New Mexico",UNM,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,3,80
183,"Syracuse Orange",Syracuse,Orange,Syracuse,SYR,ff6500,000e54,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,3,81
189,"Bowling Green Falcons","Bowling Green",Falcons,"Bowling Green",BGSU,2b1000,492000,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,3,82
193,"Miami (OH) RedHawks","Miami (OH)",RedHawks,"Miami OH",M-OH,a4000c,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,3,83
194,"Ohio State Buckeyes","Ohio State",Buckeyes,"Ohio State",OSU,ce1141,505056,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,3,84
195,"Ohio Bobcats",Ohio,Bobcats,Ohio,OHIO,295A29,e4bb85,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,3,85
197,"Oklahoma State Cowboys","Oklahoma State",Cowboys,"Oklahoma St",OKST,000000,dddddd,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,3,86
201,"Oklahoma Sooners",Oklahoma,Sooners,Oklahoma,OU,a32036,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,3,87
202,"Tulsa Golden Hurricane",Tulsa,"Golden Hurricane",Tulsa,TLSA,003595,d0b787,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,3,88
204,"Oregon State Beavers","Oregon State",Beavers,"Oregon St",ORST,231f20,d73f09,https://a.espncdn.com/i/teamlogos/ncaa/500/204.png,3,89
213,"Penn State Nittany Lions","Penn State","Nittany Lions","Penn State",PSU,00265D,002e5c,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,3,90
218,"Temple Owls",Temple,Owls,Temple,TEM,A80532,a7a9ac,https://a.espncdn.com/i/teamlogos/ncaa/500/218.png,3,91
221,"Pittsburgh Panthers",Pittsburgh,Panthers,Pitt,PITT,003263,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/221.png,3,92
228,"Clemson Tigers",Clemson,Tigers,Clemson,CLEM,f56600,522d80,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,3,93
235,"Memphis Tigers",Memphis,Tigers,Memphis,MEM,004991,8e908f,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,3,94
238,"Vanderbilt Commodores",Vanderbilt,Commodores,Vanderbilt,VAN,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,3,95
239,"Baylor Bears",Baylor,Bears,Baylor,BAY,154734,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,3,96
242,"Rice Owls",Rice,Owls,Rice,RICE,d1d5d8,003d7d,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,3,97
245,"Texas A&M Aggies","Texas A&M",Aggies,"Texas A&M",TA&M,500000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,3,98
